Page Name,Disclaimer,Amount Spent,Number of Ads in Library
John Riley working hard for Moorview,John Christdpher Riley,≤100,2
Rachel Reeves,Office of Rachel Reeves MP,≤100,4
Black Country Party,Black Country Party,≤100,1
Chipping Barnet for Europe,Derek Meyer,≤100,4
European Movement: Milton Keynes,European Movement Milton Keynes,≤100,2
Hackney Lib Dems,Hackney Liberal Democrats,≤100,4
Mick Antoniw,"Mick Antoniw, Assembly Member for Pontypridd at 10 Market Street, Pontypridd, CF37 2ST",≤100,1
Cambridge Stays,Cambridge Stays,≤100,3
Gary Sambrook,Gary William Sambrook,≤100,1
Ben Lake - Ceredigion,Plaid Cymru Ceredigion,≤100,1
Simon Clarke MP,The Conservative Party,≤100,17
Leeds Green Party,Central & Outer Leeds Green Party,≤100,2
Cllr Michael Long,Michael Long,≤100,1
London School of Hygiene & Tropical Medicine,These ads ran without a disclaimer,≤100,1
Inverclyde Liberal Democrats,Inverclyde Liberal Democrat Party,≤100,2
Camden Council,Camden Council,≤100,2
Jess Green and the Mischief Thieves,Arts Council England,≤100,2
Dr Kieran Mullan,Crewe & Nantwich Conservatives,≤100,1
Cllr Nick Adams-King,Nick Adams-King,≤100,1
Tom Tugendhat,"Promoted and distributed electronically by Jon Botten on behalf of Tom Tugendhat, both at West Kent Conservative Campaign HQ, Suite 3, Paddock Wood Business Centre, Commercial Road, Paddock Wood, Kent, TN12 6EN",≤100,3
High Peak Conservatives,High Peak Conservatives,≤100,1
James Frith MP,Bury North Labour Party,≤100,1
York Green Party,York Green Party,≤100,1
Rock and Rhetoric,Kenneth Maclaren,≤100,1
Brexit Votes Matter,Brexit Defence Force,≤100,2
Katie Cooper,"Labour Party - Downend, Staple Hill  and Winterbourne Branch",≤100,1
Zac Goldsmith,The Conservative Party,≤100,8
Vaughan Gething AM,Vaughan Gething AM,≤100,5
Hartiful - Pins and Patches,Kayleigh Hart,≤100,10
Care4Calais,Care4Calais,≤100,1
Edinburgh Green Party,Edinburgh Green Party,≤100,2
Theresa Villiers,Theresa Villiers MP,≤100,3
Lee Cartwright - VAPP,Lee Cartwright - VAPP,≤100,2
Stand up for Labour,Stand up for Labour,≤100,1
Anna Turley MP for Redcar,Redcar Constituency Labour Party,≤100,1
James Mylne Art,James Mylne (JRM-Teks),≤100,1
Louis Stephen,Louis Stephen,≤100,1
Stuart Anderson,Stuart Anderson,≤100,3
Barwell - Bosworth Conservatives,Russell Roberts,≤100,1
Siobhan Baillie,The Conservative Party,≤100,9
Cllr James Goodman,The Conservative Party,≤100,1
Tyisha info,Andre McPherson,≤100,2
Northenden's World,Northenden World Admin,≤100,7
The Craft of a Fox,These ads ran without a disclaimer,≤100,2
Novoto,These ads ran without a disclaimer,≤100,42
ZXRecords,ZXRecords,≤100,2
The Jewellery App,Daren Daniels,≤100,2
UKIP MEP Campaign - Yorkshire & North Lincolnshire,Mike Hookem MEP,≤100,1
Cllr Thomas Jay,Cllr Thomas Jay,≤100,1
RSPB Scotland,RSPB Scotland,≤100,1
Alternate Escapes,Alternate Escapes,≤100,1
Jason McMahon MEP Campaign Page,Robert John Davis,≤100,4
Craw4designs,Mrs Mirjam Crawford,≤100,2
Counterfire,Counterfire,≤100,1
Cumbernauld and Kilsyth SNP,Josh Cairns,≤100,2
Death By Bass Recordings / DBBR,Carl Anthony Dawkes,≤100,1
Stephen Kinnock,Independent Parliamentary Standards Authority,≤100,1
Dover and Deal Green Party,cttee of Dover and Deal Green Party,≤100,1
John Feely - Sinn Féin,Sinn Féin Fermanagh,≤100,2
Bible News,Stuart Courtney,≤100,1
Alastair Majury for Dunblane & Bridge of Allan,Alastair Majury,≤100,1
Exit from Brexit,the Liberal Democrats,≤100,35
Oxfordshire County Council,Oxfordshire County Council,≤100,1
Portishead Independents,"Portishead Independents. Promoted by J Parry on behalf of Portishead Independents both of 4 Cabot Rise, Portishead, BS20 6NX",≤100,1
Tees Issues by Andy Preston,Andrew Loughran Preston,≤100,1
The Secret Campsites,Hugh Sandie,≤100,1
Linlithgow and East Falkirk VAPP,Mark Andrew Tunnicliff,≤100,1
Moz fitness,MOZFITNESS,≤100,2
East Med Yachting,Andrew Fielding,≤100,1
Eddie Hughes MP,Eddie Hughes & Walsall Conservatives,≤100,4
Tyisha Positive Action Group,Suzy Curry,≤100,6
Neil McCann MEP Candidate,Neil McCann,≤100,1
Councillor Seth Pearson,Seth Pearson,≤100,1
My Romania Community,My Romania Community,≤100,3
Kenneth Gibson MSP,Kenneth J Gibson,≤100,1
"Patrick Thelwell, Green candidate",Patrick Rowan H Thelwell,≤100,1
"Councillor Sue Haworth, Harper Green ward, pt Farnworth & pt Great Lever",Susan Haworth,≤100,1
Revive: The coalition for grouse moor reform,The League Against Cruel Sports,≤100,1
Bob Wilson Photography,Bob Wilson Photography,≤100,1
Hacked Off,Hacked Off,≤100,2
Ipswich Labour,The Labour Party. Promoted by John Cook on behalf of Ipswich Labour Party,≤100,1
Democratic Unionist Party,Democratic Unionist Party,≤100,2
ECO STRAW,These ads ran without a disclaimer,≤100,2
Witsherface,Elizabeth Caproni,≤100,1
Richard Short - Conservative Campaigner,Richard Short,≤100,1
Elmet and Rothwell Liberal Democrats,David Hopps,≤100,2
Bolton Clowncil,Admins of Bolton Clowncil who have no political membership to any party,≤100,1
Llafur Ceredigion - Ceredigion Labour,Hannah Holtom,≤100,1
The North East Party,John Irving Tait on behalf of  The North East Party,≤100,1
Yellow Sun ADHD Hub,Soli Lazarus,≤100,1
Upperton Conservatives,Eastbourne Conservative ASsociation,≤100,1
This Much I Know News,These ads ran without a disclaimer,≤100,1
Rishi Fernando,Rishi Fernando,≤100,1
Cleveland Liberal Democrats,Ealing Liberal Democrats,≤100,4
East Lothian Labour Party,East Lothian Labour Party,≤100,1
Exeter Green Party,Joseph Jacques Levy,≤100,1
Group B Strep Support (GBSS),Group B Strep Support,≤100,1
Nativve,Nativve,≤100,1
Cllr. Andrew Jarvie - Inverness South,Andrew Jarvie at no expense to the taxpayer,≤100,1
"Matthew Scott, Kent Police and Crime Commissioner","Matthew Scott, Police and Crime Commissioner for Kent",≤100,1
Welsh Academic Press,Welsh Academic Press,≤100,1
Guy Opperman MP,Guy Opperman MP,≤100,2
Labour For Cannock Chase,The Labour Party,≤100,1
Martyn Day MP,Martyn Day,≤100,1
Pinksixty,Leeze Lawrence,≤100,5
Tiverton & Honiton Liberal Democrats,Dr. J Timperley on behalf of Tiverton and Honiton Liberal Democrats,≤100,1
Cllr John Howson,Cllr John Howson on behalf of Cllr John Howson of Venneit Close Oxford OX1 1HZ,≤100,1
Councillor Dave Harris,Dave Harris,≤100,1
SKT Welfare,SKT Welfare,≤100,1
PD Londra - Decio Anzani,Davide Trotta,≤100,1
Hartlepool Labour Party,Hartlepool Labour Party,≤100,2
Perth4Europe,Susannah Clare Rae,≤100,1
Swoop,These ads ran without a disclaimer,≤100,1
A United Europe,Steve  Alan Duggan,≤100,2
Prab Ghosh,Prab Ghosh,≤100,1
Charity Right UK,These ads ran without a disclaimer,≤100,2
Red Party of Scotland,Red Party of Scotland,≤100,1
Warrington Conservatives,Warrington Conservatives,≤100,1
Alex Rowley MSP,Alex Rowley MSP,≤100,2
USR Diaspora,Uniunea Salvați România - USR,≤100,1
Lord John Robartes Regiment,Lord John Robartes Regiment,≤100,3
Disabled Lives Matter,Craig Chant,≤100,2
Loughborough and Charnwood Liberal Democrats,Loughborough & Charnwood Liberal Democrats,≤100,1
Olive & Berry,Miss Natalie Louise Tyson,≤100,4
Taunton Deane Liberal Democrats,Taunton Deane Liberal Democrats,≤100,2
Alton Liberal Democrats,Stephen Donald Hunt,≤100,1
The Centre Party: Building a Better Britain,Michael Boulton,≤100,2
Lucy Frazer,Lucy Frazer MP,≤100,1
No10Vigil - Vigil against Brexit,EU Flag Mafia,≤100,2
Tetbury & District Conservatives,Richard Norris,≤100,2
Tom McNeil,Thomas Benjamin Mcneil,≤100,1
Alasdair Allan MSP,Alasdair Allan,≤100,3
Lee McCall,Lee McCall,≤100,1
My Astley Bridge,Warren Lee Fox,≤100,1
Scott Dickinson,Scott Dickinson,≤100,2
"Save King George A&E meeting 30th March, 3pm Ilford Town Hall",Andy Walker,≤100,1
Professor  Alberto Testa,Alberto Testa,≤100,1
Cllr Liam Walker,Cllr Liam Walker,≤100,2
Cllr Mike Diamond,Cllr Mike Diamond,≤100,2
The Jewellery App,Daren Daniels,≤100,3
Paul Bristow - Proud of Peterborough,The Conservative Party,≤100,1
Archimedes Consulting Ltd,Ms Patricia Susan Seabright,≤100,2
Genius Computing,Genius Computing Limited,≤100,1
Ryan Henson,Ryan Henson,≤100,1
Dulcie Tudor LD,Dulcie Tudor,≤100,1
Peter Taylor - Mayor of Watford,Elected Mayor of Watford,≤100,1
Bradford District Green Party,Green Party of England and Wales,≤100,1
Swansea Labour Students Myfyrwyr Llafur Abertawe,Jack William Dunne,≤100,1
Grangetown Labour News,Grangetown Labour News,≤100,1
Let's Ban Fossil Fuels,Daniel James Hurley,≤100,1
Erdington News from Robert Alden and Gareth Moore,Erdington Conservative Association,≤100,2
Llanrumney Labour News,Llanrumney Labour News,≤100,1
"Caithness, Sutherland and Ross Labour Party",Gary Cormack for Caithness Sutherland & Ross CLP,≤100,1
Aphra Brandreth,Kingston and Surbiton Conservative Association,≤100,1
Reema Cosmetics,Reema Saleem,≤100,1
Cllr. David Hilton,David Hilton,≤100,1
Worplesdon Matters,Dennis Paul,≤100,1
Shanklin Conservatives,Shanklin Conservatives,≤100,1
Maderos,Maderos,≤100,1
Luke Graham for Ochil and South Perthshire,Perth and Kinross Conservative Association,≤100,1
Charles Orlebar Estate Agents,Charles Orlebar Estate Agents,≤100,1
Erith & Thamesmead Conservatives,Erith & Thamesmead Conservative Association,≤100,1
Teesside Business Podcast,Mike Leng,≤100,1
Camden Liberal Democrats,Camden Liberal Democrats,≤100,1
Cllr Cahal Burke,Cahal Colm Burke,≤100,1
Councillor Mark Harris,Mark Harris,≤100,1
Bishop's Stortford Conservatives,Bishop's Stortford Conservatives,≤100,1
Jeane Freeman MSP,The Scottish Parliament,≤100,1
Amy Prince For Jesmond,Hartlepool Labour Party,≤100,1
