Page Name,Disclaimer,Amount Spent,Number of Ads in Library
"Artist,DJ,MC.",These ads ran without a disclaimer,≤100,1
Фіолетова корова,These ads ran without a disclaimer,≤100,1
Михайло Чурило,These ads ran without a disclaimer,≤100,2
Duality,These ads ran without a disclaimer,≤100,2
Andrey Rain,These ads ran without a disclaimer,≤100,2
Козацькі анекдоти,These ads ran without a disclaimer,≤100,1
Andrii Shynkovych,These ads ran without a disclaimer,≤100,2
Institute Respublica / Інститут "Республіка",These ads ran without a disclaimer,≤100,2
Вонючий носок,These ads ran without a disclaimer,≤100,1
Plitka Shop,These ads ran without a disclaimer,≤100,1
УКРОП Київ,These ads ran without a disclaimer,≤100,1
Brain Source International,These ads ran without a disclaimer,≤100,1
WJC - Jewish Diplomatic Corps,These ads ran without a disclaimer,≤100,2
Enigma Club,These ads ran without a disclaimer,≤100,1
Нерухомість: від А до Ж,These ads ran without a disclaimer,≤100,1
Hustle Ramen,These ads ran without a disclaimer,≤100,1
Peter Zalmayev,These ads ran without a disclaimer,≤100,1
Sobranie.Fun,These ads ran without a disclaimer,≤100,2
Херсон за ПП,These ads ran without a disclaimer,≤100,1
Громадянська позиція - Запорізька область,These ads ran without a disclaimer,≤100,1
o.r.r.e.v.o,These ads ran without a disclaimer,≤100,1
"Ігор Степура, політик",These ads ran without a disclaimer,≤100,7
Немирівський Вісник,These ads ran without a disclaimer,≤100,2
ДІДЬКО | Бери українське,These ads ran without a disclaimer,≤100,1
MediaLife,These ads ran without a disclaimer,≤100,1
Повернись живим,These ads ran without a disclaimer,≤100,1
Azat TV,These ads ran without a disclaimer,≤100,1
SumyNews,These ads ran without a disclaimer,≤100,3
Eco Impakt,These ads ran without a disclaimer,≤100,1
Sand Cloud,These ads ran without a disclaimer,≤100,9
Голос Країни,These ads ran without a disclaimer,≤100,1
M.V,These ads ran without a disclaimer,≤100,2
Dudu_Hugs _Textile,These ads ran without a disclaimer,≤100,1
Лида,These ads ran without a disclaimer,≤100,1
Кременчугская газета,These ads ran without a disclaimer,≤100,1
Gachimuchi БОЙЦЫ,These ads ran without a disclaimer,≤100,1
Недвижимость Киева  АН "Perfect Team",These ads ran without a disclaimer,≤100,2
�ALENA�,These ads ran without a disclaimer,≤100,1
Цей день в історії,These ads ran without a disclaimer,≤100,1
ЖК FREEDOM,These ads ran without a disclaimer,≤100,1
Labaratoria17,These ads ran without a disclaimer,≤100,2
Дело в шляпе,These ads ran without a disclaimer,≤100,1
Новости Украины,These ads ran without a disclaimer,≤100,1
Національний корпус Маріуполь,These ads ran without a disclaimer,≤100,2
Leonid Kozhara,These ads ran without a disclaimer,≤100,2
Газета "Час Полісся",These ads ran without a disclaimer,≤100,1
Національний Корпус Київ,These ads ran without a disclaimer,≤100,2
GR.OS • Агенство дизайна интерьеров,These ads ran without a disclaimer,≤100,3
Comon Agency,These ads ran without a disclaimer,≤100,1
Education For Conservation,These ads ran without a disclaimer,≤100,1
Kyiv City News,Михайло Тарасенко,≤100,1
Banque mondiale,These ads ran without a disclaimer,≤100,26
Кокосовое масло "Good Taste",These ads ran without a disclaimer,≤100,1
Diana Glebushkina,These ads ran without a disclaimer,≤100,1
Future Moms Day,These ads ran without a disclaimer,≤100,2
Вогень�,These ads ran without a disclaimer,≤100,1
Тарас Батенко,These ads ran without a disclaimer,≤100,2
Максим Гольдарб,These ads ran without a disclaimer,≤100,2
Карткові Черкаси,These ads ran without a disclaimer,≤100,2
Студентська Свобода Львів,These ads ran without a disclaimer,≤100,2
Олександр Фірст,Фірст Олександр,≤100,2
Владислав Одинець - Vladislav Odynets,These ads ran without a disclaimer,≤100,1
Ведущий Денис Доля,These ads ran without a disclaimer,≤100,1
Новости Кривого Рога - Кривбасс On-Line,These ads ran without a disclaimer,≤100,1
Cake&Cupcake,Олександра Фальченко,≤100,1
Запорожье сегодня,These ads ran without a disclaimer,≤100,1
DariaCh,These ads ran without a disclaimer,≤100,1
IKEA Lviv,These ads ran without a disclaimer,≤100,1
Валерий Поволоцкий,These ads ran without a disclaimer,≤100,2
GreaterGood.org,These ads ran without a disclaimer,≤100,2
Полтавська хвиля,These ads ran without a disclaimer,≤100,1
24.45%,These ads ran without a disclaimer,≤100,1
Національний Корпус - Умань,These ads ran without a disclaimer,≤100,1
𝒱𝒶𝓁ℯ𝓇𝓎 �,These ads ran without a disclaimer,≤100,1
Пряма ЛІНІЯ,These ads ran without a disclaimer,≤100,1
Захисти свій голос,These ads ran without a disclaimer,≤100,2
Віта Заверуха,These ads ran without a disclaimer,≤100,1
آزادی,These ads ran without a disclaimer,≤100,3
ZPOST,These ads ran without a disclaimer,≤100,1
Народ проти - головне політичне ток-шоу країни,These ads ran without a disclaimer,≤100,6
Khalil Younes,These ads ran without a disclaimer,≤100,1
Case_silicon_kovel,These ads ran without a disclaimer,≤100,1
J.D.Wool,These ads ran without a disclaimer,≤100,2
haakonsk.blog,These ads ran without a disclaimer,≤100,1
The Panozzo Team - HomeSmart,These ads ran without a disclaimer,≤100,1
Hippie Life - Hippieoutfit4u,These ads ran without a disclaimer,≤100,2
Glasgow Afghan United,These ads ran without a disclaimer,≤100,5
Хай Так,These ads ran without a disclaimer,≤100,1
Instaprint,These ads ran without a disclaimer,≤100,1
Trang Banana,These ads ran without a disclaimer,≤100,8
Dima Chesta,These ads ran without a disclaimer,≤100,1
Меблевий центр «Пан Диван»,These ads ran without a disclaimer,≤100,1
Громадянська позиція - Ширяєве,These ads ran without a disclaimer,≤100,1
Climate Freak,These ads ran without a disclaimer,≤100,29
Справжня Старосамбірщина,These ads ran without a disclaimer,≤100,1
Trevi Bar,These ads ran without a disclaimer,≤100,1
Одежда по доступным ценам,These ads ran without a disclaimer,≤100,1
Stukanova Maria,These ads ran without a disclaimer,≤100,2
MIRA VZLA,These ads ran without a disclaimer,≤100,1
Днепр ЗА Зеленского,These ads ran without a disclaimer,≤100,1
Нескорена Нація,These ads ran without a disclaimer,≤100,1
Закарпатська обласна організація Політичної Партії "Патріот",These ads ran without a disclaimer,≤100,1
Об'єднання "Самопоміч" - Волинь,These ads ran without a disclaimer,≤100,1
Своими словами,These ads ran without a disclaimer,≤100,1
Flyer Contest 2019 Global Competition,These ads ran without a disclaimer,≤100,1
Народний депутат ВР України Семен Семенченко,These ads ran without a disclaimer,≤100,2
TOP ONE,These ads ran without a disclaimer,≤100,8
Seven Clean Seas,These ads ran without a disclaimer,≤100,1
Миколаївська Батьківщина,These ads ran without a disclaimer,≤100,2
We Love Fishing,These ads ran without a disclaimer,≤100,3
Rose tshirt,These ads ran without a disclaimer,≤100,1
ТРК "Балінформкомпанія",These ads ran without a disclaimer,≤100,1
Dentissimo Premium Oral Care,These ads ran without a disclaimer,≤100,2
Tatucco,These ads ran without a disclaimer,≤100,2
Рецепты,These ads ran without a disclaimer,≤100,1
Mihail Dunakovskiy Illustrator,These ads ran without a disclaimer,≤100,1
Democratic Initiatives Foundation-Фонд "Демократичні Ініціативи",These ads ran without a disclaimer,≤100,2
Паритет Одесса,These ads ran without a disclaimer,≤100,2
Goodnet | Gateway to Doing Good,These ads ran without a disclaimer,≤100,1
Олександр Мочков,These ads ran without a disclaimer,≤100,1
RemoteLock,These ads ran without a disclaimer,≤100,1
Vince Reed,These ads ran without a disclaimer,≤100,2
ماعت للسلام والتنمية وحقوق الإنسان,These ads ran without a disclaimer,≤100,1
MANH,These ads ran without a disclaimer,≤100,1
Bellabeat,These ads ran without a disclaimer,≤100,3
Управління житлово-комунального господарства та комунальної власності ДОР,These ads ran without a disclaimer,≤100,1
Affise - Performance Marketing Software,These ads ran without a disclaimer,≤100,4
Спортивне місто - здорова нація,These ads ran without a disclaimer,≤100,1
Mariya Zasadniy,These ads ran without a disclaimer,≤100,2
Another Level Store,These ads ran without a disclaimer,≤100,9
Громадська організація "Твердиня",These ads ran without a disclaimer,≤100,2
InfoHub,These ads ran without a disclaimer,≤100,1
Доступне авто,These ads ran without a disclaimer,≤100,1
Onlineparityshop,These ads ran without a disclaimer,≤100,3
PCRF - Palestine Children's Relief Fund,These ads ran without a disclaimer,≤100,1
Girlsintrendy_Global,These ads ran without a disclaimer,≤100,6
Express You,These ads ran without a disclaimer,≤100,2
Travel Daily,These ads ran without a disclaimer,≤100,2
Stendap_VovaZe,These ads ran without a disclaimer,≤100,2
Intimina,These ads ran without a disclaimer,≤100,2
Центр реформ та розвитку - Чернівці,These ads ran without a disclaimer,≤100,1
Ivan&Natalya,These ads ran without a disclaimer,≤100,1
Черная Винница,These ads ran without a disclaimer,≤100,1
Eurasianet на русском языке,These ads ran without a disclaimer,≤100,2
Südwest,These ads ran without a disclaimer,≤100,1
Icycreamyy,These ads ran without a disclaimer,≤100,1
читатимодно,These ads ran without a disclaimer,≤100,1
govoryt_lviv_nta,These ads ran without a disclaimer,≤100,1
Freaky Label,These ads ran without a disclaimer,≤100,6
Кандидат,These ads ran without a disclaimer,≤100,1
InTrust Law Firm,These ads ran without a disclaimer,≤100,1
Громадсько-політичний Рух "Справедливість" - Дніпропетровська область,These ads ran without a disclaimer,≤100,1
Прес-служба народного депутата України Володимира Бандурова,These ads ran without a disclaimer,≤100,1
ВNТЯН �,These ads ran without a disclaimer,≤100,1
Y&P Store,These ads ran without a disclaimer,≤100,13
The Vostokian,These ads ran without a disclaimer,≤100,1
Високопілля 2019,These ads ran without a disclaimer,≤100,1
Гражданин Художник,These ads ran without a disclaimer,≤100,1
Офіс віце-прем'єрки з питань європейської та євроатлантичної інтеграції,These ads ran without a disclaimer,≤100,1
ВО "Платформа Громадянських Ініціатив",These ads ran without a disclaimer,≤100,1
Національний Корпус Сміла,These ads ran without a disclaimer,≤100,1
Фермер Тарас,These ads ran without a disclaimer,≤100,2
ДемАльянс - Запоріжжя,These ads ran without a disclaimer,≤100,1
Olga Grechak,These ads ran without a disclaimer,≤100,1
Agroshow Ukraine,These ads ran without a disclaimer,≤100,1
Little People Shop Магазин детской одежды,These ads ran without a disclaimer,≤100,1
Володимир Куцовол,These ads ran without a disclaimer,≤100,1
Телеграм-канал,These ads ran without a disclaimer,≤100,7
Компания "Квадратный метр",These ads ran without a disclaimer,≤100,1
Big Cat Rescue,These ads ran without a disclaimer,≤100,1
USAdarFarsi (وزارت امورخارجه آمریکا به زبان فارسی),These ads ran without a disclaimer,≤100,1
Cybercalm,These ads ran without a disclaimer,≤100,1
PBM Construction Company Limited,These ads ran without a disclaimer,≤100,2
kunivermag,These ads ran without a disclaimer,≤100,1
Михайло Волинець,These ads ran without a disclaimer,≤100,1
Ukrainian Boxing Hall Of Fame,These ads ran without a disclaimer,≤100,1
Смешко2019  Smeshko2019,These ads ran without a disclaimer,≤100,1
Evgeniy Grinchuk,These ads ran without a disclaimer,≤100,2
DEC camp,These ads ran without a disclaimer,≤100,2
Christof Catlin,These ads ran without a disclaimer,≤100,1
My H20n,These ads ran without a disclaimer,≤100,10
Державна установа "Держгідрографія",These ads ran without a disclaimer,≤100,2
Михайло Імберовський - офіційна сторінка,These ads ran without a disclaimer,≤100,1
GodSaidManSaid,These ads ran without a disclaimer,≤100,2
Кампанія ХутроOFF,These ads ran without a disclaimer,≤100,1
Custom garage,These ads ran without a disclaimer,≤100,1
Veronika Komissar,These ads ran without a disclaimer,≤100,2
УКРОП Миколаїв Львівська область,These ads ran without a disclaimer,≤100,2
Дмитро Сіреджук,These ads ran without a disclaimer,≤100,1
«Редакція»,These ads ran without a disclaimer,≤100,5
GadbrandOfficial,These ads ran without a disclaimer,≤100,1
Pacific Sun EU,These ads ran without a disclaimer,≤100,1
Gadgik,These ads ran without a disclaimer,≤100,1
Володимир Квурт: офіційно,These ads ran without a disclaimer,≤100,1
Шустер LIVE,These ads ran without a disclaimer,≤100,1
Артем Кравченко,These ads ran without a disclaimer,≤100,1
Фототерапия с психологом Юлией Клименко,These ads ran without a disclaimer,≤100,1
StuffVip,These ads ran without a disclaimer,≤100,7
Panda Fandom,These ads ran without a disclaimer,≤100,31
Catty Machine Film Production,These ads ran without a disclaimer,≤100,1
ZI News,These ads ran without a disclaimer,≤100,1
Envirendly,These ads ran without a disclaimer,≤100,37
ɴɪᴋᴏʟᴀʏ sᴜʙᴀᴄʜᴇᴠ,These ads ran without a disclaimer,≤100,2
Love Game,These ads ran without a disclaimer,≤100,6
美麗日報 Beauties of Life,These ads ran without a disclaimer,≤100,1
Eclairelavie,These ads ran without a disclaimer,≤100,2
Dean Graziosi,These ads ran without a disclaimer,≤100,2
All Muslims Together,These ads ran without a disclaimer,≤100,16
Велика Олександрівка онлайн,These ads ran without a disclaimer,≤100,1
Fred Keller,Fred Keller for Congress,≤100,2
Батьківщина Молода Львівщини,These ads ran without a disclaimer,≤100,1
Shoppingmoreusa,These ads ran without a disclaimer,≤100,4
Ukrainian Sport TV,These ads ran without a disclaimer,≤100,1
Єдиний Щит,These ads ran without a disclaimer,≤100,2
The Premium Essentialz,These ads ran without a disclaimer,≤100,3
Wowfanco,These ads ran without a disclaimer,≤100,3
Natalie-Alex Parieva,These ads ran without a disclaimer,≤100,1
A-Films - профессиональная видеосъемка,These ads ran without a disclaimer,≤100,1
"Ryan Orrico, The Yoga Sex Rock God",These ads ran without a disclaimer,≤100,1
Commandor.com,These ads ran without a disclaimer,≤100,1
Elegance Shop,These ads ran without a disclaimer,≤100,1
Open Society Foundations,These ads ran without a disclaimer,≤100,2
Анжела Петровна,These ads ran without a disclaimer,≤100,1
ЖК Ліпінка,These ads ran without a disclaimer,≤100,1
ForLynx,These ads ran without a disclaimer,≤100,9
Підслухано в Олевську I Інформаційно-аналітичний вісник,These ads ran without a disclaimer,≤100,1
Тимчук Дмитро Дмитрович,These ads ran without a disclaimer,≤100,1
Юрій Левченко,These ads ran without a disclaimer,≤100,3
Вироби зі шкіри з іменним гравіруванням в подарунок,These ads ran without a disclaimer,≤100,1
Golden Capsule Shop,These ads ran without a disclaimer,≤100,1
_КатЯремчук_,These ads ran without a disclaimer,≤100,1
CA Charter Schools Association,California Charter Schools Association,≤100,1
Chernoknizhnik,These ads ran without a disclaimer,≤100,1
Олександр Домбровський,These ads ran without a disclaimer,≤100,1
Rostyslav Humennuy,These ads ran without a disclaimer,≤100,1
Єдиний Союз Патріотів України / Единый Союз Патриотов Украины,These ads ran without a disclaimer,≤100,1
Буквы,These ads ran without a disclaimer,≤100,2
ІНФОТАБ,These ads ran without a disclaimer,≤100,1
Virallme pets,These ads ran without a disclaimer,≤100,1
Hipstory By Amit Shimoni,These ads ran without a disclaimer,≤100,1
Renicart,These ads ran without a disclaimer,≤100,2
Feminizz,These ads ran without a disclaimer,≤100,10
Ваня Марич�,These ads ran without a disclaimer,≤100,1
Ukrainian Sociological Portal,These ads ran without a disclaimer,≤100,1
My Pride Wear,These ads ran without a disclaimer,≤100,2
Мій Моршин,These ads ran without a disclaimer,≤100,1
Ukrainian strategy 2050,These ads ran without a disclaimer,≤100,1
Denis Kyianov,These ads ran without a disclaimer,≤100,1
hooly.net,These ads ran without a disclaimer,≤100,1
春华小说,These ads ran without a disclaimer,≤100,3
Одежда-Бренд,These ads ran without a disclaimer,≤100,2
CNMFB,These ads ran without a disclaimer,≤100,3
Checklist.com,These ads ran without a disclaimer,≤100,2
Павло Петренко,These ads ran without a disclaimer,≤100,1
Laser Training Cabarete,These ads ran without a disclaimer,≤100,1
Телеграм Монстр,These ads ran without a disclaimer,≤100,2
Уроки бизнеса под парусом,These ads ran without a disclaimer,≤100,1
"GS Mining Company, LLC",These ads ran without a disclaimer,≤100,1
Народний контроль,These ads ran without a disclaimer,≤100,1
House Of Many,These ads ran without a disclaimer,≤100,2
Summer Waves,These ads ran without a disclaimer,≤100,1
African Union USA,These ads ran without a disclaimer,≤100,3
СТОП Матиос,These ads ran without a disclaimer,≤100,1
Вінниччина з Порошенко,These ads ran without a disclaimer,≤100,1
Видавництво "Брайт Букс",These ads ran without a disclaimer,≤100,1
Об'єднання "Самопоміч" - Чернівці,These ads ran without a disclaimer,≤100,1
Черноморск - без  цензуры,These ads ran without a disclaimer,≤100,1
Мегасайт,These ads ran without a disclaimer,≤100,2
Gary Vaynerchuk,These ads ran without a disclaimer,≤100,1
Компьютерная школа Hillel,These ads ran without a disclaimer,≤100,2
Hello LGBTQ,These ads ran without a disclaimer,≤100,2
Joe Fier,These ads ran without a disclaimer,≤100,1
Зе! Кепка,These ads ran without a disclaimer,≤100,1
GoBeyond,These ads ran without a disclaimer,≤100,4
EADaily,These ads ran without a disclaimer,≤100,1
Миколаїв News,These ads ran without a disclaimer,≤100,1
Монастырский вестник Украины,These ads ran without a disclaimer,≤100,1
Live Lokai,These ads ran without a disclaimer,≤100,3
ПРАВИЙ СЕКТОР / Полтавщина,These ads ran without a disclaimer,≤100,1
"Доброго ранку, Країно",These ads ran without a disclaimer,≤100,3
Mercy Global InterNational Relief Organization,These ads ran without a disclaimer,≤100,11
Eleutheromania,These ads ran without a disclaimer,≤100,8
Харківський антикорупційний центр,These ads ran without a disclaimer,≤100,1
Файні ябка,These ads ran without a disclaimer,≤100,1
Atlantic Group,These ads ran without a disclaimer,≤100,1
Fashion,These ads ran without a disclaimer,≤100,1
ЗІДО,These ads ran without a disclaimer,≤100,1
PASA Primates: Pan African Sanctuary Alliance,PASA (Pan African Sanctuary Alliance),≤100,5
Tap Tap Music,These ads ran without a disclaimer,≤100,1
Bescennaya Showroom,These ads ran without a disclaimer,≤100,1
Фитнес с Мадей Екатериной,These ads ran without a disclaimer,≤100,1
Ален Бобров,These ads ran without a disclaimer,≤100,1
Батьківщина Молода,ГО "Батьківщина Молода",≤100,1
Streetpit,These ads ran without a disclaimer,≤100,1
China Daily,These ads ran without a disclaimer,≤100,1
Jurvneshservice,These ads ran without a disclaimer,≤100,1
Go-Kot,These ads ran without a disclaimer,≤100,1
Діма Бондін,These ads ran without a disclaimer,≤100,1
Game 80s,These ads ran without a disclaimer,≤100,4
Об'єднання "Самопоміч" - Полтава,These ads ran without a disclaimer,≤100,1
ВО "Свобода" I Одеса,These ads ran without a disclaimer,≤100,1
Wake Up World & Smell the Coffee,Wake Up World & Smell The Coffee,≤100,1
News,These ads ran without a disclaimer,≤100,1
24X7 News,These ads ran without a disclaimer,≤100,3
Нумерология и Эзотерика.,These ads ran without a disclaimer,≤100,2
Haibara,These ads ran without a disclaimer,≤100,2
NuTrending,These ads ran without a disclaimer,≤100,2
Національний Корпус Нікополь,These ads ran without a disclaimer,≤100,1
Котомания,These ads ran without a disclaimer,≤100,1
Chasing the Donkey Croatia & Balkans Travel,These ads ran without a disclaimer,≤100,1
RedCut,These ads ran without a disclaimer,≤100,1
Voice maker 123,These ads ran without a disclaimer,≤100,1
Beauty Buy,These ads ran without a disclaimer,≤100,1
Надежда Коломиец,These ads ran without a disclaimer,≤100,1
Geraldina Adamo,These ads ran without a disclaimer,≤100,2
ChicHome,These ads ran without a disclaimer,≤100,10
IamDaaamniel,These ads ran without a disclaimer,≤100,2
КИЇВ ЗА ПП,These ads ran without a disclaimer,≤100,1
Kingsley R Chin MD,These ads ran without a disclaimer,≤100,1
Контент мейкер,These ads ran without a disclaimer,≤100,1
Metal Music Lovers,These ads ran without a disclaimer,≤100,1
Гастро-Паб Крыша,These ads ran without a disclaimer,≤100,1
PayTabs,These ads ran without a disclaimer,≤100,1
Dr. Michelle Corral,These ads ran without a disclaimer,≤100,3
The Vibe Bracelets,These ads ran without a disclaimer,≤100,8
Передовиця,These ads ran without a disclaimer,≤100,1
Сергій Філь,These ads ran without a disclaimer,≤100,1
Protect animal,These ads ran without a disclaimer,≤100,1
Час Правди,These ads ran without a disclaimer,≤100,1
Raseef22  رصيفــ22,These ads ran without a disclaimer,≤100,2
Малинська Правда,These ads ran without a disclaimer,≤100,1
Презентации PowerPoint,These ads ran without a disclaimer,≤100,1
Savystuffsaf,These ads ran without a disclaimer,≤100,2
Universal Lacrosse,These ads ran without a disclaimer,≤100,2
National Parks Conservation Association,National Parks Conservation Association,≤100,1
NewchicBrands,These ads ran without a disclaimer,≤100,1
RegioNews-Суми,These ads ran without a disclaimer,≤100,1
Irina Marchuk1111,These ads ran without a disclaimer,≤100,1
Kharkiv Airport,These ads ran without a disclaimer,≤100,1
5.10 Харьков,These ads ran without a disclaimer,≤100,1
Человек xer,These ads ran without a disclaimer,≤100,2
Slava Medical,These ads ran without a disclaimer,≤100,1
iKontrol,These ads ran without a disclaimer,≤100,1
Борецький Олександр,These ads ran without a disclaimer,≤100,1
Save The Animals,These ads ran without a disclaimer,≤100,1
البنك الدولي,These ads ran without a disclaimer,≤100,2
The Palestine Institute for Public Diplomacy,These ads ran without a disclaimer,≤100,1
ШоТам?,These ads ran without a disclaimer,≤100,1
Not enough,These ads ran without a disclaimer,≤100,3
Baby Hope,These ads ran without a disclaimer,≤100,6
durdom.in.ua,These ads ran without a disclaimer,≤100,1
GFH&H,These ads ran without a disclaimer,≤100,9
ТСН - news,These ads ran without a disclaimer,≤100,2
FN.ua,These ads ran without a disclaimer,≤100,1
Tarasovsky Bucha,These ads ran without a disclaimer,≤100,1
be__gorgeous_,These ads ran without a disclaimer,≤100,1
Білицький Андрій Васильович,These ads ran without a disclaimer,≤100,1
First Sight Amor,These ads ran without a disclaimer,≤100,8
YOGA BURN,These ads ran without a disclaimer,≤100,1
Иисус без границ,JESUS UNLTD,≤100,4
Ігор Гузь - офіційна сторінка,These ads ran without a disclaimer,≤100,1
Пояс для похудания,These ads ran without a disclaimer,≤100,1
Телеканал НТА,These ads ran without a disclaimer,≤100,1
Микола Бабенко,These ads ran without a disclaimer,≤100,1
BIHUS.info,These ads ran without a disclaimer,≤100,1
Wishlist Drop Deals,These ads ran without a disclaimer,≤100,1
Всеукраинское общественное движение "Сила добра" - проект БЕЗ Политики,These ads ran without a disclaimer,≤100,1
Alex Naboka,These ads ran without a disclaimer,≤100,1
Типова Україна,These ads ran without a disclaimer,≤100,1
Extremophile Pub,These ads ran without a disclaimer,≤100,1
Sport for women,These ads ran without a disclaimer,≤100,1
Gus.in.ua,These ads ran without a disclaimer,≤100,1
Vine Video,These ads ran without a disclaimer,≤100,1
Школа політичної аналітики НаУКМА,These ads ran without a disclaimer,≤100,1
Настоящее Время,These ads ran without a disclaimer,≤100,1
Черкаська Правда,These ads ran without a disclaimer,≤100,1
Nano Resort,These ads ran without a disclaimer,≤100,1
Fabulous Babe,These ads ran without a disclaimer,≤100,2
Hippie Souls - Amzitee,These ads ran without a disclaimer,≤100,6
Газета Постфактум - Херсон,These ads ran without a disclaimer,≤100,1
Peru Hop,These ads ran without a disclaimer,≤100,3
Погана Кампанія,These ads ran without a disclaimer,≤100,1
Прес-центр судової влади України,These ads ran without a disclaimer,≤100,1
"Kashalot - магазин подарков. Харьков, Украина",These ads ran without a disclaimer,≤100,1
Duuple,These ads ran without a disclaimer,≤100,1
From Day One Conference,These ads ran without a disclaimer,≤100,1
zechernobyl2019,These ads ran without a disclaimer,≤100,1
WODprep,These ads ran without a disclaimer,≤100,4
Сlinic of Dr. Ignatiev/ Клиника Доктора Игнатьева - отзывы,These ads ran without a disclaimer,≤100,2
Янот Патаскун,These ads ran without a disclaimer,≤100,1
Bonanza Deals,These ads ran without a disclaimer,≤100,8
Мария Речинская,These ads ran without a disclaimer,≤100,2
Halfmoon Festival,These ads ran without a disclaimer,≤100,1
Svitlana Dutchak,These ads ran without a disclaimer,≤100,2
Рідна Кущівка,These ads ran without a disclaimer,≤100,1
Liberty and Independence Forever,These ads ran without a disclaimer,≤100,1
Immigrant fine diner,These ads ran without a disclaimer,≤100,1
Hope Lab,These ads ran without a disclaimer,≤100,1
Rescue Our Bees,These ads ran without a disclaimer,≤100,26
Сергій Дядинюк,These ads ran without a disclaimer,≤100,1
Liloris beauty,These ads ran without a disclaimer,≤100,1
Life hacks,These ads ran without a disclaimer,≤100,7
Super Idea Works,These ads ran without a disclaimer,≤100,1
Врятуй від вирубки ПАРК Крістерова Гірка,These ads ran without a disclaimer,≤100,1
ТМ President,These ads ran without a disclaimer,≤100,1
Горностаївка 2019,These ads ran without a disclaimer,≤100,1
Василь Лабайчук,These ads ran without a disclaimer,≤100,2
Точка Кипения,These ads ran without a disclaimer,≤100,1
Campaigns & Elections,These ads ran without a disclaimer,≤100,3
Брат за брата,These ads ran without a disclaimer,≤100,1
Чернігівщина. News,These ads ran without a disclaimer,≤100,1
Gazeta.ua,These ads ran without a disclaimer,≤100,2
Сила Людей Тернополя,These ads ran without a disclaimer,≤100,1
Joseph,These ads ran without a disclaimer,≤100,2
Гостра правда,These ads ran without a disclaimer,≤100,1
Агроінсайдер,These ads ran without a disclaimer,≤100,1
Etual_od,These ads ran without a disclaimer,≤100,1
AARP Delaware,AARP Delaware,≤100,1
Партія ветеранів Афганістану,These ads ran without a disclaimer,≤100,1
Minnesota House DFL Campaign,"the DFL House Caucus, 255 East Plato Blvd, Saint Paul, MN 55107.",≤100,7
Галина огиенко,These ads ran without a disclaimer,≤100,1
The Brodsky Organization,These ads ran without a disclaimer,≤100,1
Pull&Bear_Ekvator,These ads ran without a disclaimer,≤100,1
اصن یه وضی,These ads ran without a disclaimer,≤100,1
Коджик,These ads ran without a disclaimer,≤100,2
"Lock Paper Scissors, Escape Rooms Kits",These ads ran without a disclaimer,≤100,2
ВО "Свобода" Хмельницька обласна організація,These ads ran without a disclaimer,≤100,1
Zekud,These ads ran without a disclaimer,≤100,4
Eduard Tkach,These ads ran without a disclaimer,≤100,1
Національний корпус Суми 2.0,These ads ran without a disclaimer,≤100,1
Актуально хмельницькі новини,These ads ran without a disclaimer,≤100,1
den4ik_belov,These ads ran without a disclaimer,≤100,1
Newchic_Women,These ads ran without a disclaimer,≤100,4
Фотограф Мирослава,These ads ran without a disclaimer,≤100,1
Громадянська позиція - Львівська область,These ads ran without a disclaimer,≤100,1
Бессарабия,These ads ran without a disclaimer,≤100,2
Bestforyou6,These ads ran without a disclaimer,≤100,1
Михайло Поперечнюк,These ads ran without a disclaimer,≤100,1
ПРАВИЙ СЕКТОР/Житомирщина,These ads ran without a disclaimer,≤100,1
CelebryVoice,These ads ran without a disclaimer,≤100,3
Govor.news,These ads ran without a disclaimer,≤100,1
The Forever Planet,These ads ran without a disclaimer,≤100,11
Стадіон Арсенал,These ads ran without a disclaimer,≤100,1
Магазин одежды для стильных дам,These ads ran without a disclaimer,≤100,1
Varf_case,These ads ran without a disclaimer,≤100,1
Bee The Change,These ads ran without a disclaimer,≤100,29
Дивись.info,These ads ran without a disclaimer,≤100,1
Відокремлений підрозділ Всеукраїнської Спілки "Побратими України",These ads ran without a disclaimer,≤100,1
Global Citizen,These ads ran without a disclaimer,≤100,2
Chesni Vybory,These ads ran without a disclaimer,≤100,1
Книголав,These ads ran without a disclaimer,≤100,1
Лариса Ільєнко. Громадська діячка.,These ads ran without a disclaimer,≤100,1
Майдан. Сводки,These ads ran without a disclaimer,≤100,1
Evergreen Profits,These ads ran without a disclaimer,≤100,1
United States Institute of Peace,These ads ran without a disclaimer,≤100,1
Рух за зміни,These ads ran without a disclaimer,≤100,1
CereinsOfficial,These ads ran without a disclaimer,≤100,1
David Liam,These ads ran without a disclaimer,≤100,2
Doha Debates,These ads ran without a disclaimer,≤100,4
Анатомія Українця,These ads ran without a disclaimer,≤100,2
Gearbest Shopping,These ads ran without a disclaimer,≤100,9
Свободная Украина,These ads ran without a disclaimer,≤100,1
Персональный тренинг Cortez,These ads ran without a disclaimer,≤100,1
Актуальный Маркетинг,These ads ran without a disclaimer,≤100,1
Соляник Вадим,These ads ran without a disclaimer,≤100,2
Об'єднання "Самопоміч" - Чорноморськ,These ads ran without a disclaimer,≤100,1
Thanyapura,These ads ran without a disclaimer,≤100,1
Green Is The New Black,These ads ran without a disclaimer,≤100,1
Fancy-found,These ads ran without a disclaimer,≤100,1
