Page Name,Disclaimer,Amount Spent,Number of Ads in Library
Карусель 2019,These ads ran without a disclaimer,203,14
Избирком,Сайт "Избирком" izbir.com.ua,202,2
Резонансные новости Украины,Єгоров Вoлoдимир,200,2
Киев сейчас,Storm Digital LLC,199,5
Відкритий Праймеріз: народний відбір кандидатів у владу,Микола Грабовецький,199,4
Петро Incognito,Crossroad SMM / "ПЕРЕХРЕСТЯ" llc,198,19
Деловая столица,These ads ran without a disclaimer,195,7
Днепр наизнанку,Storm Digital LLC,194,5
Ukrainian Volunteer Ads Initiative,These ads ran without a disclaimer,193,7
Шустер LIVE,Nelya Shelyakina,191,3
Партія ВОЛЯ,These ads ran without a disclaimer,191,3
Игорь Дятлов,Катерина Колпакова,190,6
Моя Країна,These ads ran without a disclaimer,189,42
Маркер Украина,Маркер Украина,186,7
RMA,RMA,185,8
Максим Мусеев,These ads ran without a disclaimer,182,13
Український центр суспільного розвитку,Український центр суспільного розвитку,181,10
Команда Зеленського в Одесі,Зе!команда Зеленського в Одесі,180,2
Артур Палатний,Артур Палатний,179,10
УКРОП Франківськ,These ads ran without a disclaimer,178,6
Кропива,Oleksandr Bezprozvannyii,174,7
Kialo,These ads ran without a disclaimer,172,31
UkraineWorld,NGO Internews Ukraine,170,5
Информатор Киев,Storm Digital LLC,169,6
Peter Zalmayev,Peter Zalmayev,168,13
ВО "Свобода" - Рівненська обласна організація,ВО "Свобода" - Рівненська організація,167,8
Громадський закон про мову 5670-д,Іван Кішка,166,10
Партія "Відродження",Партія "Відродження",164,11
ІНФОРМАТОР,These ads ran without a disclaimer,163,7
Команда Зеленського у Черкасах,These ads ran without a disclaimer,163,9
Олександр Савченко,Олександр Савченко,161,9
theБабель,theБабель,161,22
Прийшов. Побачив. #стокгольм,Вячеслав Гайдай,159,5
Газета Вести,These ads ran without a disclaimer,159,19
Жизнь UA,These ads ran without a disclaimer,158,3
Партія Основа - Кропивницький,These ads ran without a disclaimer,158,10
Blind Trust / Слепой Траст,Crossroad SMM,157,5
Актуальна Мережа Новин,These ads ran without a disclaimer,155,2
Команда Зеленського у Полтавi,These ads ran without a disclaimer,153,3
Команда Зеленського у Рівному,Команда Зеленського у Рівному,153,7
Народна Правда,These ads ran without a disclaimer,151,1
Obozrevatel,These ads ran without a disclaimer,151,3
Светлана Бедлецкая,These ads ran without a disclaimer,150,10
Партія "Національний Корпус",Партія "Національний Корпус",149,12
maminpolitik,These ads ran without a disclaimer,148,10
